Date,pm10ltp,pmfine
06-Apr-2016 21:00,18.4,7.6
06-Apr-2016 22:00,17.3,7.2
06-Apr-2016 23:00,17.7,7.6
07-Apr-2016 00:00,15.5,6.8
07-Apr-2016 01:00,9.7,4.4
07-Apr-2016 02:00,8.6,3.9
07-Apr-2016 03:00,12.1,5
07-Apr-2016 04:00,9.1,3.9
07-Apr-2016 05:00,9.4,3.7
07-Apr-2016 06:00,12.1,4.6
07-Apr-2016 07:00,12.6,4.4
07-Apr-2016 08:00,10.9,3.9
07-Apr-2016 09:00,11.3,4.8
07-Apr-2016 10:00,11.8,4.8
07-Apr-2016 11:00,10.8,3.7
07-Apr-2016 12:00,6.5,2.7
07-Apr-2016 13:00,6.3,2.8
07-Apr-2016 14:00,6.6,2.9
07-Apr-2016 15:00,9.1,3.3
07-Apr-2016 16:00,8.8,3.6
07-Apr-2016 17:00,9.2,3.8
07-Apr-2016 18:00,10.8,4.2
07-Apr-2016 19:00,21,7.1
07-Apr-2016 20:00,18.7,6.7
07-Apr-2016 21:00,18.3,8
07-Apr-2016 22:00,17.9,7.6
07-Apr-2016 23:00,21.4,9.4
08-Apr-2016 00:00,17,8.1
08-Apr-2016 01:00,11.6,5.6
08-Apr-2016 02:00,8.6,4
08-Apr-2016 03:00,11.1,4.4
08-Apr-2016 04:00,17.8,9.7
08-Apr-2016 05:00,15.8,7.2
08-Apr-2016 06:00,23.7,6.7
08-Apr-2016 07:00,22.6,6.8
08-Apr-2016 08:00,20.7,6.6
08-Apr-2016 09:00,13.2,4.4
08-Apr-2016 10:00,11,3.7
08-Apr-2016 11:00,10.4,3.5
08-Apr-2016 12:00,10.2,3.3
08-Apr-2016 13:00,10.1,3
08-Apr-2016 14:00,12.2,3.3
08-Apr-2016 15:00,12.3,3.5
08-Apr-2016 16:00,11.5,3.7
08-Apr-2016 17:00,14.4,4.8
08-Apr-2016 18:00,16.6,4.9
08-Apr-2016 19:00,16.8,5
08-Apr-2016 20:00,17.2,5
08-Apr-2016 21:00,20.4,5.5
08-Apr-2016 22:00,14.1,4.7
08-Apr-2016 23:00,10.6,4
09-Apr-2016 00:00,8.5,3.1
09-Apr-2016 01:00,5.1,2.5
09-Apr-2016 02:00,4.2,2.9
09-Apr-2016 03:00,4.8,2.6
09-Apr-2016 04:00,4,2.9
09-Apr-2016 05:00,4,3.1
09-Apr-2016 06:00,4,2.9
09-Apr-2016 07:00,9.5,7.3
09-Apr-2016 08:00,5.3,2.6
09-Apr-2016 09:00,2.7,1.7
09-Apr-2016 10:00,2.3,1.7
09-Apr-2016 11:00,3.2,2.1
09-Apr-2016 12:00,3.1,1.9
09-Apr-2016 13:00,4.3,2.3
09-Apr-2016 14:00,4.9,2.6
09-Apr-2016 15:00,3.5,2
09-Apr-2016 16:00,4.7,2.5
09-Apr-2016 17:00,6.9,3.8
09-Apr-2016 18:00,11.2,4.2
09-Apr-2016 19:00,15,5.6
09-Apr-2016 20:00,10.2,6.3
09-Apr-2016 21:00,9.1,6.2
09-Apr-2016 22:00,7.9,4.9
09-Apr-2016 23:00,4.3,2.7
10-Apr-2016 00:00,3.1,2.3
10-Apr-2016 01:00,2.7,2
10-Apr-2016 02:00,4.5,3
10-Apr-2016 03:00,3.9,2.8
10-Apr-2016 04:00,3,2.3
10-Apr-2016 05:00,2.3,2.1
10-Apr-2016 06:00,2.7,2.2
10-Apr-2016 07:00,1.9,1.6
10-Apr-2016 08:00,2.9,2.4
10-Apr-2016 09:00,3.5,2.5
10-Apr-2016 10:00,4,3.1
10-Apr-2016 11:00,3.7,2.4
10-Apr-2016 12:00,4.2,2.9
10-Apr-2016 13:00,3.6,2.6
10-Apr-2016 14:00,3.4,2.3
10-Apr-2016 15:00,3.4,1.9
10-Apr-2016 16:00,3.3,1.9
10-Apr-2016 17:00,2.9,1.8
10-Apr-2016 18:00,4.5,2.1
10-Apr-2016 19:00,8,4.1
10-Apr-2016 20:00,10.7,6
10-Apr-2016 21:00,8.4,4.9
10-Apr-2016 22:00,3.3,2.3
10-Apr-2016 23:00,2.4,1.7
11-Apr-2016 00:00,2.5,1.6
11-Apr-2016 01:00,2.5,1.7
11-Apr-2016 02:00,2.4,1.6
11-Apr-2016 03:00,2.9,1.8
11-Apr-2016 04:00,3.2,1.9
11-Apr-2016 05:00,4.6,2.3
11-Apr-2016 06:00,8.9,3.2
11-Apr-2016 07:00,8.3,2.8
11-Apr-2016 08:00,5.8,2.5
11-Apr-2016 09:00,6.2,2.7
11-Apr-2016 10:00,8.9,4.3
11-Apr-2016 11:00,9.3,4.1
11-Apr-2016 12:00,6.4,2.5
11-Apr-2016 13:00,5.1,1.9
11-Apr-2016 14:00,3.8,1.7
11-Apr-2016 15:00,4.9,1.8
11-Apr-2016 16:00,3.6,1.5
11-Apr-2016 17:00,4,2
11-Apr-2016 18:00,8.1,2.7
11-Apr-2016 19:00,9.9,4.7
11-Apr-2016 20:00,6.8,3.1
11-Apr-2016 21:00,4.5,2.5
11-Apr-2016 22:00,5.7,2.3
11-Apr-2016 23:00,2.8,1.5
12-Apr-2016 00:00,2.9,1.7
12-Apr-2016 01:00,3.6,1.9
12-Apr-2016 02:00,3.2,1.7
12-Apr-2016 03:00,3.7,1.9
12-Apr-2016 04:00,4.2,2
12-Apr-2016 05:00,4.5,2.2
12-Apr-2016 06:00,11.8,3.5
12-Apr-2016 07:00,8.5,3
12-Apr-2016 08:00,5.9,2.3
12-Apr-2016 09:00,8.4,2.8
12-Apr-2016 10:00,7.6,2.3
12-Apr-2016 11:00,7.5,2.4
12-Apr-2016 12:00,8.6,3.3
12-Apr-2016 13:00,11,2.8
12-Apr-2016 14:00,5,1.9
12-Apr-2016 15:00,4.8,1.9
12-Apr-2016 16:00,4.4,2
12-Apr-2016 17:00,4,1.9
12-Apr-2016 18:00,4,1.8
12-Apr-2016 19:00,4.8,2
12-Apr-2016 20:00,7.8,3.3
12-Apr-2016 21:00,4,1.9
12-Apr-2016 22:00,4.4,1.9
12-Apr-2016 23:00,5.8,1.9
13-Apr-2016 00:00,4.9,2.1
13-Apr-2016 01:00,4,2
13-Apr-2016 02:00,3.5,1.9
13-Apr-2016 03:00,3.1,1.8
13-Apr-2016 04:00,3.3,2
13-Apr-2016 05:00,4.7,2.6
13-Apr-2016 06:00,10.6,3.2
13-Apr-2016 07:00,5.9,2.2
13-Apr-2016 08:00,7.2,2.3
13-Apr-2016 09:00,6.3,2.3
13-Apr-2016 10:00,6.4,2
13-Apr-2016 11:00,5.9,2
13-Apr-2016 12:00,6.7,2.1
13-Apr-2016 13:00,6.2,2.3
13-Apr-2016 14:00,6.2,2
13-Apr-2016 15:00,5.4,2
13-Apr-2016 16:00,5.4,1.8
13-Apr-2016 17:00,6.4,2.2
13-Apr-2016 18:00,5.9,2.2
13-Apr-2016 19:00,4,1.9
13-Apr-2016 20:00,4,1.9
13-Apr-2016 21:00,3.8,1.8
13-Apr-2016 22:00,5.9,2.7
13-Apr-2016 23:00,5.8,2.2
14-Apr-2016 00:00,4.5,1.8
14-Apr-2016 01:00,4.3,1.7
14-Apr-2016 02:00,3,1.4
14-Apr-2016 03:00,4.1,1.8
14-Apr-2016 04:00,7.8,2.3
14-Apr-2016 05:00,10.1,3
14-Apr-2016 06:00,24.8,5.1
14-Apr-2016 07:00,40.5,7.3
14-Apr-2016 08:00,16.9,3.3
14-Apr-2016 09:00,5.5,1.7
14-Apr-2016 10:00,8.9,2.1
14-Apr-2016 11:00,11.7,2.5
14-Apr-2016 12:00,7.1,2.1
14-Apr-2016 13:00,10.6,2.6
14-Apr-2016 14:00,5.8,1.9
14-Apr-2016 15:00,4.5,1.8
14-Apr-2016 16:00,4.7,1.7
14-Apr-2016 17:00,34.1,5.9
14-Apr-2016 18:00,4.6,1.8
14-Apr-2016 19:00,6.2,2.3
14-Apr-2016 20:00,55.2,9.2
14-Apr-2016 21:00,12,3.2
14-Apr-2016 22:00,3.5,1.9
14-Apr-2016 23:00,9,2
15-Apr-2016 00:00,1.3,0.9
15-Apr-2016 01:00,1.8,1.3
15-Apr-2016 02:00,1,0.8
15-Apr-2016 03:00,0.8,0.7
15-Apr-2016 04:00,0.6,0.5
15-Apr-2016 05:00,2,1.9
15-Apr-2016 06:00,1.9,1.6
15-Apr-2016 07:00,2.3,1.9
15-Apr-2016 08:00,1.9,1.6
15-Apr-2016 09:00,2,1.7
15-Apr-2016 10:00,1.8,1.6
15-Apr-2016 11:00,3.8,2.2
15-Apr-2016 12:00,3.5,2
15-Apr-2016 13:00,4.1,2.3
15-Apr-2016 14:00,3.4,2.2
15-Apr-2016 15:00,2.7,2.2
15-Apr-2016 16:00,3.9,3.1
15-Apr-2016 17:00,4.3,3.2
15-Apr-2016 18:00,6.2,3.7
15-Apr-2016 19:00,6.4,3.4
15-Apr-2016 20:00,5.5,2.9
15-Apr-2016 21:00,6,3.6
15-Apr-2016 22:00,9,5.4
15-Apr-2016 23:00,7.3,3.8
16-Apr-2016 00:00,3.4,2.3
16-Apr-2016 01:00,2.4,1.7
16-Apr-2016 02:00,2.2,1.5
16-Apr-2016 03:00,1.6,1.2
16-Apr-2016 04:00,2.6,1.7
16-Apr-2016 05:00,1.4,1
16-Apr-2016 06:00,1.1,0.7
16-Apr-2016 07:00,1.1,0.6
16-Apr-2016 08:00,1.4,0.7
16-Apr-2016 09:00,1.8,0.7
16-Apr-2016 10:00,1.8,0.8
16-Apr-2016 11:00,1.4,0.7
16-Apr-2016 12:00,1.3,0.7
16-Apr-2016 13:00,1.3,0.8
16-Apr-2016 14:00,1.7,1
16-Apr-2016 15:00,1.4,1
16-Apr-2016 16:00,1.6,1.3
16-Apr-2016 17:00,1.8,1.5
16-Apr-2016 18:00,2,1.7
16-Apr-2016 19:00,2.5,1.8
16-Apr-2016 20:00,3.8,2.5
16-Apr-2016 21:00,3.3,2.2
16-Apr-2016 22:00,2.4,1.5
16-Apr-2016 23:00,1.2,1
17-Apr-2016 00:00,0.6,0.5
17-Apr-2016 01:00,0.4,0.3
17-Apr-2016 02:00,0.5,0.4
17-Apr-2016 03:00,0.7,0.5
17-Apr-2016 04:00,0.9,0.7
17-Apr-2016 05:00,1.1,0.9
17-Apr-2016 06:00,0.9,0.5
17-Apr-2016 07:00,0.7,0.5
17-Apr-2016 08:00,0.5,0.4
17-Apr-2016 09:00,0.7,0.5
17-Apr-2016 10:00,0.7,0.6
17-Apr-2016 11:00,1,0.8
17-Apr-2016 12:00,1.4,1.1
17-Apr-2016 13:00,1.5,1.2
17-Apr-2016 14:00,1.3,1
17-Apr-2016 15:00,1.5,1.2
17-Apr-2016 16:00,2.1,1.7
17-Apr-2016 17:00,1.5,1.1
17-Apr-2016 18:00,2.2,1.3
17-Apr-2016 19:00,1.9,1.6
17-Apr-2016 20:00,2.7,2.1
17-Apr-2016 21:00,2.8,2.1
17-Apr-2016 22:00,3.2,2.2
17-Apr-2016 23:00,2.6,2.2
18-Apr-2016 00:00,2.3,1.9
18-Apr-2016 01:00,2,1.7
18-Apr-2016 02:00,5.2,3.9
18-Apr-2016 03:00,6.5,5
18-Apr-2016 04:00,8,5.3
18-Apr-2016 05:00,7.9,5
18-Apr-2016 06:00,22.3,7.2
18-Apr-2016 07:00,12,4.7
18-Apr-2016 08:00,4.4,2.1
18-Apr-2016 09:00,2.3,1.7
18-Apr-2016 10:00,1.8,1.6
18-Apr-2016 11:00,2.9,2.7
18-Apr-2016 12:00,2.9,2.3
18-Apr-2016 13:00,3.1,2.2
18-Apr-2016 14:00,2.6,1.9
18-Apr-2016 15:00,2.3,1.5
18-Apr-2016 16:00,2.1,1.3
18-Apr-2016 17:00,1.7,1.3
18-Apr-2016 18:00,1.9,1.6
18-Apr-2016 19:00,2.9,2.4
18-Apr-2016 20:00,4.7,3.2
18-Apr-2016 21:00,5.8,4.8
18-Apr-2016 22:00,7.9,6.6
18-Apr-2016 23:00,5.2,4.6
19-Apr-2016 00:00,7.3,6.1
19-Apr-2016 01:00,6.2,5.5
19-Apr-2016 02:00,4.8,4.2
19-Apr-2016 03:00,4.3,3.9
19-Apr-2016 04:00,3.7,3.2
19-Apr-2016 05:00,5.6,4.4
19-Apr-2016 06:00,15.9,7.8
19-Apr-2016 07:00,17.4,6.6
19-Apr-2016 08:00,7.7,3.5
19-Apr-2016 09:00,2.9,1.5
19-Apr-2016 10:00,2.8,1.5
19-Apr-2016 11:00,3.5,1.5
19-Apr-2016 12:00,3.4,1.8
19-Apr-2016 13:00,3.6,1.8
19-Apr-2016 14:00,3.4,1.6
19-Apr-2016 15:00,3,1.5
19-Apr-2016 16:00,3.8,1.8
19-Apr-2016 17:00,3,1.6
19-Apr-2016 18:00,3.6,1.8
19-Apr-2016 19:00,3,1.7
19-Apr-2016 20:00,2.9,1.8
19-Apr-2016 21:00,4.9,2.9
19-Apr-2016 22:00,2.6,1.7
19-Apr-2016 23:00,1.8,1.3
20-Apr-2016 00:00,1.6,1.4
20-Apr-2016 01:00,1.3,1.1
20-Apr-2016 02:00,1.4,1.2
20-Apr-2016 03:00,1.3,1.2
20-Apr-2016 04:00,1.5,1.3
20-Apr-2016 05:00,2.3,1.6
20-Apr-2016 06:00,3.6,2.5
20-Apr-2016 07:00,2.6,1.6
20-Apr-2016 08:00,2.9,1.6
20-Apr-2016 09:00,3.1,1.7
20-Apr-2016 10:00,2.9,2
20-Apr-2016 11:00,3.1,1.9
20-Apr-2016 12:00,3.7,2.1
20-Apr-2016 13:00,5.3,2
20-Apr-2016 14:00,6.3,2.3
20-Apr-2016 15:00,5.1,2.3
20-Apr-2016 16:00,6.9,2.5
20-Apr-2016 17:00,5.7,2.4
20-Apr-2016 18:00,7,2.7
20-Apr-2016 19:00,13.4,4.3
20-Apr-2016 20:00,10.2,4.6
