timestamp,temperature[degC],humidity[%],no2[ppb],o3[ppb],no2_we[V],no2_aux[V],o3[V],latitude[deg],longitude[deg],altitude[m]
08/03/2016 07:14:45,---,---,---,0,---,---,-0.825904,---,---,---
08/03/2016 07:14:49,19.21,64.53,0,---,0.077265,0.232352,---,---,---,---
08/03/2016 07:14:50,---,---,---,0,---,---,-0.825914,---,---,---
08/03/2016 07:14:54,19.21,64.47,0,---,0.078351,0.232355,---,---,---,---
08/03/2016 07:14:55,---,---,---,0,---,---,-0.825921,---,---,---
08/03/2016 07:14:59,19.22,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:00,---,64.41,0,0,0.079427,0.232378,-0.825929,---,---,---
08/03/2016 07:15:04,19.23,64.36,---,---,---,---,---,---,---,---
08/03/2016 07:15:05,---,---,0,0,0.08051,0.232418,-0.825932,---,---,---
08/03/2016 07:15:09,19.24,64.3,---,---,---,---,---,---,---,---
08/03/2016 07:15:10,---,---,0,0,0.081539,0.232443,-0.825942,---,---,---
08/03/2016 07:15:14,19.25,64.25,---,---,---,---,---,---,---,---
08/03/2016 07:15:15,---,---,0,0,0.082646,0.232463,-0.825951,---,---,---
08/03/2016 07:15:19,19.25,64.2,---,---,---,---,---,---,---,---
08/03/2016 07:15:20,---,---,0,0,0.083654,0.232481,-0.825959,---,---,---
08/03/2016 07:15:24,19.26,64.16,---,---,---,---,---,---,---,---
08/03/2016 07:15:25,---,---,0,0,0.084714,0.232512,-0.825966,---,---,---
08/03/2016 07:15:29,19.27,64.11,---,---,---,---,---,---,---,---
08/03/2016 07:15:30,---,---,0,0,0.085703,0.232524,-0.825973,---,---,---
08/03/2016 07:15:34,19.28,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:35,---,64.06,0,0,0.08667,0.23255,-0.825983,---,---,---
08/03/2016 07:15:39,19.28,64.01,---,---,---,---,---,---,---,---
08/03/2016 07:15:40,---,---,0,0,0.087625,0.232578,-0.825993,---,---,---
08/03/2016 07:15:44,19.29,63.96,---,---,---,---,---,---,---,---
08/03/2016 07:15:45,---,---,0,0,0.088615,0.232569,-0.825993,---,---,---
08/03/2016 07:15:49,19.3,63.91,---,---,---,---,---,---,---,---
