timestamp,temperature[degC],humidity[%],no2[ppb],o3[ppb],no2_we[V],no2_aux[V],o3[V],latitude[deg],longitude[deg],altitude[m]
08/03/2016 07:14:29,---,61.22,0,0,0.062098,0.149511,-0.823576,---,---,---
08/03/2016 07:14:33,20.01,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:34,---,61.13,0,0,0.063608,0.150148,-0.823626,---,---,---
08/03/2016 07:14:40,20.01,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:41,---,---,0,0,0.065042,0.150746,-0.823679,---,---,---
08/03/2016 07:14:43,20.02,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:44,---,61.09,0,0,0.066378,0.151372,-0.82372,---,---,---
08/03/2016 07:14:48,20.03,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:49,---,61.04,0,0,0.0677,0.151913,-0.823749,---,---,---
08/03/2016 07:14:54,20.03,61,0,0,0.069022,0.152465,-0.823779,---,---,---
08/03/2016 07:14:58,20.03,---,---,---,---,---,---,---,---,---
08/03/2016 07:14:59,---,60.97,0,0,0.070345,0.153017,-0.823817,---,---,---
08/03/2016 07:15:03,20.04,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:04,---,60.93,0,0,0.071691,0.153617,-0.823858,---,---,---
08/03/2016 07:15:08,20.04,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:09,---,60.9,0,0,0.072954,0.154154,-0.823884,---,---,---
08/03/2016 07:15:13,20.05,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:14,---,60.86,0,0,0.074218,0.154727,-0.823914,---,---,---
08/03/2016 07:15:19,20.05,60.83,0,0,0.075478,0.155242,-0.823956,---,---,---
08/03/2016 07:15:23,20.06,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:24,---,60.8,0,0,0.076698,0.155815,-0.823989,---,---,---
08/03/2016 07:15:28,20.06,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:29,---,60.76,0,0,0.07788,0.156328,-0.824022,---,---,---
08/03/2016 07:15:33,20.07,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:34,---,60.72,0,0,0.079024,0.156864,-0.824052,---,---,---
08/03/2016 07:15:38,20.07,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:39,---,60.68,0,0,0.080166,0.157372,-0.824081,---,---,---
08/03/2016 07:15:43,20.07,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:44,---,60.65,0,0,0.081466,0.157978,-0.824126,---,---,---
08/03/2016 07:15:48,20.08,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:49,---,60.61,0,0,0.082596,0.158477,-0.824143,---,---,---
08/03/2016 07:15:53,20.08,---,---,---,---,---,---,---,---,---
08/03/2016 07:15:54,---,60.58,0,0,0.083678,0.158919,-0.824168,---,---,---
08/03/2016 07:15:59,20.09,60.54,0,0,0.08474,0.159423,-0.824193,---,---,---
08/03/2016 07:16:03,20.09,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:04,---,60.5,0,0,0.085791,0.159915,-0.82423,---,---,---
08/03/2016 07:16:08,20.09,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:09,---,60.47,0,0,0.08679,0.160287,-0.824252,---,---,---
08/03/2016 07:16:13,20.1,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:14,---,60.44,0,0,0.087743,0.160692,-0.824282,---,---,---
08/03/2016 07:16:18,20.1,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:19,---,60.41,0,0,0.088438,0.161038,-0.824302,---,---,---
08/03/2016 07:16:23,20.11,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:24,---,60.38,0,0,0.089404,0.161407,-0.824322,---,---,---
08/03/2016 07:16:28,20.11,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:29,---,60.35,0,0,0.090357,0.161854,-0.824341,---,---,---
08/03/2016 07:16:34,20.11,60.28,---,---,---,---,---,---,---,---
08/03/2016 07:16:35,---,---,0,0,0.091296,0.162295,-0.824342,---,---,---
08/03/2016 07:16:40,20.12,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:41,---,---,0,0,0.092232,0.162687,-0.824383,---,---,---
08/03/2016 07:16:43,20.12,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:44,---,60.24,0,0,0.093168,0.163068,-0.824418,---,---,---
08/03/2016 07:16:48,20.12,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:49,---,60.21,0,0,0.094027,0.16342,-0.824442,---,---,---
08/03/2016 07:16:53,20.13,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:54,---,60.17,0,0,0.094922,0.163789,-0.824474,---,---,---
08/03/2016 07:16:58,20.13,---,---,---,---,---,---,---,---,---
08/03/2016 07:16:59,---,60.14,0,0,0.095849,0.164219,-0.8245,---,---,---
08/03/2016 07:17:04,20.13,60.12,0,0,0.096681,0.164598,-0.824535,---,---,---
08/03/2016 07:17:08,20.14,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:09,---,60.1,0,0,0.097544,0.164968,-0.824573,---,---,---
08/03/2016 07:17:13,20.14,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:14,---,60.08,0,0,0.098428,0.165332,-0.824585,---,---,---
08/03/2016 07:17:18,20.14,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:19,---,60.06,0,0,0.099313,0.165681,-0.824612,---,---,---
08/03/2016 07:17:23,20.15,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:24,---,60.04,0,0,0.100205,0.165979,-0.824625,---,---,---
08/03/2016 07:17:28,20.15,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:29,---,60.02,0,0,0.101081,0.166327,-0.824654,---,---,---
08/03/2016 07:17:33,20.15,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:34,---,59.99,0,0,0.101937,0.166687,-0.82468,---,---,---
08/03/2016 07:17:38,20.16,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:39,---,59.96,0,0,0.102706,0.166993,-0.824704,---,---,---
08/03/2016 07:17:43,20.16,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:44,---,59.94,0,0,0.103455,0.167312,-0.824718,---,---,---
08/03/2016 07:17:48,20.16,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:49,---,59.92,0,0,0.104192,0.167644,-0.82473,---,---,---
08/03/2016 07:17:53,20.17,---,---,---,---,---,---,---,---,---
08/03/2016 07:17:54,---,59.91,0,0,0.104878,0.167916,-0.824748,---,---,---
08/03/2016 07:17:59,20.17,59.89,0,0,0.105596,0.168235,-0.824764,---,---,---
08/03/2016 07:18:03,20.17,---,---,---,---,---,---,---,---,---
08/03/2016 07:18:04,---,59.87,0,---,0.106353,0.168562,---,---,---,---
08/03/2016 07:18:05,---,---,---,0,---,---,-0.824779,---,---,---
08/03/2016 07:18:09,20.17,59.85,0,0,0.107077,0.168919,-0.824777,---,---,---
08/03/2016 07:18:14,20.18,59.84,0,0,0.107797,0.169256,-0.824791,---,---,---
08/03/2016 07:18:19,20.18,59.83,0,0,0.108546,0.169576,-0.824815,---,---,---
08/03/2016 07:18:24,20.18,59.81,0,0,0.109201,0.169899,-0.824821,---,---,---
08/03/2016 07:18:29,20.19,59.8,0,0,0.109866,0.170176,-0.824843,---,---,---
08/03/2016 07:18:34,20.19,59.78,0,0,0.110502,0.170504,-0.824861,---,---,---
08/03/2016 07:18:39,20.19,59.77,0,0,0.111169,0.170766,-0.824869,---,---,---
08/03/2016 07:18:44,20.19,59.75,0,0,0.111829,0.171073,-0.824879,---,---,---
08/03/2016 07:18:49,20.2,59.73,0,0,0.112515,0.171384,-0.824889,---,---,---
08/03/2016 07:18:54,20.2,59.71,0,0,0.11313,0.171649,-0.824902,---,---,---
08/03/2016 07:18:59,20.2,59.69,0,0,0.114,0.171997,-0.82492,---,---,---
08/03/2016 07:19:04,20.21,59.68,0,0,0.1146,0.172344,-0.824942,---,---,---
08/03/2016 07:19:09,20.21,59.67,0,0,0.115231,0.172563,-0.824947,---,---,---
08/03/2016 07:19:14,20.21,59.65,0,0,0.11583,0.172807,-0.824974,---,---,---
08/03/2016 07:19:19,20.21,59.64,0,0,0.116462,0.173064,-0.824986,---,---,---
08/03/2016 07:19:24,20.22,59.63,0,0,0.117026,0.173334,-0.825003,---,---,---
08/03/2016 07:19:29,20.22,59.62,0,0,0.117639,0.173658,-0.825017,---,---,---
08/03/2016 07:19:34,20.22,59.6,0,0,0.117812,0.173968,-0.825034,---,---,---
08/03/2016 07:19:39,20.22,59.59,0,0,0.118322,0.174232,-0.825042,---,---,---
08/03/2016 07:19:44,20.23,---,---,---,---,---,---,---,---,---
08/03/2016 07:19:45,---,59.57,0,0,0.118881,0.174504,-0.82505,---,---,---
08/03/2016 07:19:49,20.23,59.56,0,0,0.119447,0.174763,-0.825066,---,---,---
08/03/2016 07:19:54,20.23,59.54,0,---,0.11994,0.174993,---,---,---,---
08/03/2016 07:19:55,---,---,---,0,---,---,-0.82509,---,---,---
08/03/2016 07:19:59,20.24,59.53,0,0,0.120433,0.175192,-0.825093,---,---,---
08/03/2016 07:20:04,20.24,59.52,0,0,0.120925,0.175471,-0.825097,---,---,---
08/03/2016 07:20:09,20.24,59.5,0,0,0.121406,0.175705,-0.825109,---,---,---
08/03/2016 07:20:14,20.24,59.49,0,0,0.121947,0.175954,-0.825122,---,---,---
08/03/2016 07:20:19,20.25,59.47,0,0,0.122467,0.17621,-0.825138,---,---,---
